model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,3,0.21434473184247813,0.0,0.21434473184247813,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",2,3,0.21434473184247813,0.0,0.21434473184247813,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,3,0.21434473184247813,0.0,0.21434473184247813,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,3,0.20596118178218603,0.0,0.20596118178218603,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",16,3,0.21434473184247813,0.0,0.21434473184247813,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,3,0.20596118178218603,0.0,0.20596118178218603,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,3,0.21033594912538925,0.0,0.21033594912538925,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,3,0.21033594912538925,0.0,0.21033594912538925,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,3,0.21159881663819155,0.0,0.21159881663819155,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",2,3,0.21159881663819155,0.0,0.21159881663819155,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,3,0.21159881663819155,0.0,0.21159881663819155,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,3,0.2084648103142778,0.0,0.2084648103142778,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",16,3,0.21159881663819155,0.0,0.21159881663819155,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",32,3,0.2084648103142778,0.0,0.2084648103142778,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",1,3,0.20696878992021084,0.0,0.20696878992021084,0.79666666273276,0.03333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",2,3,0.20696878992021084,0.0,0.20696878992021084,0.79666666273276,0.03333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",4,3,0.20696878992021084,0.0,0.20696878992021084,0.79666666273276,0.03333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",8,3,0.2081176332818965,0.0,0.2081176332818965,0.79666666273276,0.03333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",16,3,0.20696878992021084,0.0,0.20696878992021084,0.79666666273276,0.03333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",32,3,0.2081176332818965,0.0,0.2081176332818965,0.79666666273276,0.03333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",1,3,0.21460391456882158,0.0,0.21460391456882158,0.7696666644016901,0.0013333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",2,3,0.21460391456882158,0.0,0.21460391456882158,0.7696666644016901,0.0013333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",4,3,0.21460391456882158,0.0,0.21460391456882158,0.7696666644016901,0.0013333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",8,3,0.21099376678466797,0.0,0.21099376678466797,0.7696666644016901,0.0013333333333333333
bdh,bdh/plain,5474de1f354e,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",16,3,0.21460391456882158,0.0,0.21460391456882158,0.7696666644016901,0.0013333333333333333
